,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
1170,2021-08-06,25025,Suffolk County,MA,323.0992298661763,2.75833333333333,392.51875,0.0003462611,796605.0,104274,18.2
1174,2021-08-06,12086,Miami-Dade County,FL,851.2197018408398,71.090909090909,343.986363636363,0.0026335546,2699428.0,79100,17.1
1178,2021-08-06,28049,Hinds County,MS,2266.098746869968,44.1,274.814285714285,0.0184675687,238797.0,61247,21.3
1179,2021-08-06,51660,Harrisonburg city,VA,219.27247257554973,9.3,262.0,0.0174572485,53273.0,65667,28.3
1182,2021-08-13,47157,Shelby County,TN,718.1235600796589,39.4454545454545,269.515384615384,0.0042125747,936374.0,76734,19.3
1184,2021-08-13,28049,Hinds County,MS,1545.400066725332,51.3571428571428,272.085714285714,0.0215066114,238797.0,61247,21.3
1203,2021-08-13,16057,Latah County,ID,806.6063616246179,4.4,25.0,0.0111378307,39505.0,66546,18.1
1211,2021-08-13,37051,Cumberland County,NC,1146.3750906983737,73.4,435.45,0.0220512466,332861.0,61346,18.4
1224,2021-08-13,13185,Lowndes County,GA,2148.733699954294,78.4,345.0,0.0679588086,115364.0,61180,24.4
1230,2021-08-13,25025,Suffolk County,MA,356.46052233315663,4.11818181818181,392.34375,0.0005169666,796605.0,104274,18.2
1233,2021-08-13,12086,Miami-Dade County,FL,863.1212014974781,90.2523809523809,343.322727272727,0.0033433891,2699428.0,79100,17.1
1242,2021-08-13,22033,East Baton Rouge Parish,LA,1820.8896470039188,45.92,158.45,0.0103478659,443763.0,82340,18.0
1247,2021-08-13,51660,Harrisonburg city,VA,241.8001070587949,10.3,262.0,0.019334372,53273.0,65667,28.3
1269,2021-08-20,22033,East Baton Rouge Parish,LA,1202.6298663693156,46.7599999999999,163.47,0.0105371561,443763.0,82340,18.0
1272,2021-08-20,25025,Suffolk County,MA,318.2251315339798,5.4090909090909,393.506249999999,0.0006790179,796605.0,104274,18.2
1275,2021-08-20,51660,Harrisonburg city,VA,234.0488740492573,15.0,262.0,0.0281568524,53273.0,65667,28.3
1279,2021-08-20,47157,Shelby County,TN,907.5090271286532,43.5166666666666,269.915384615384,0.0046473596,936374.0,76734,19.3
1297,2021-08-20,13185,Lowndes County,GA,2123.845553616974,93.7,345.0,0.0812211782,115364.0,61180,24.4
1300,2021-08-20,12086,Miami-Dade County,FL,641.2149100700234,97.8619047619047,351.627272727272,0.003625283,2699428.0,79100,17.1
1316,2021-08-20,16057,Latah County,ID,1133.5846869771467,4.0,25.0,0.0101253006,39505.0,66546,18.1
