,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
2794,2022-04-01,37051,Cumberland County,NC,78.648143196365,9.4,426.05,0.0028240016,332861.0,61346,18.4
2811,2022-04-01,22033,East Baton Rouge Parish,LA,97.82009332113248,0.55,,0.00012394,443763.0,82340,18.0
2816,2022-04-01,25025,Suffolk County,MA,290.6867948016604,5.28333333333333,,0.0006632313,796605.0,104274,18.2
2822,2022-04-01,16057,Latah County,ID,94.60482624243495,,22.0,,39505.0,66546,18.1
2823,2022-04-01,51660,Harrisonburg city,VA,110.26182479891376,5.6,262.0,0.0105118916,53273.0,65667,28.3
2834,2022-04-01,28049,Hinds County,MS,0.9589225226384404,14.775,236.333333333333,0.0061872637,238797.0,61247,21.3
2842,2022-04-01,12086,Miami-Dade County,FL,297.02119632930084,13.6153846153846,307.070588235294,0.0005043804,2699428.0,79100,17.1
2864,2022-04-01,18157,Tippecanoe County,IN,160.76772742340054,6.3,159.8,0.003288907,191553.0,71389,18.7
2870,2022-04-08,37051,Cumberland County,NC,119.6574675258081,4.45,426.65,0.0013368944,332861.0,61346,18.4
2900,2022-04-08,16057,Latah County,ID,157.96287527583135,0.0,22.0,,39505.0,66546,18.1
2907,2022-04-08,25025,Suffolk County,MA,320.60190771291553,5.1076923076923,,0.0006411826,796605.0,104274,18.2
2912,2022-04-08,13185,Lowndes County,GA,111.28339120160864,,304.0,,115364.0,61180,24.4
